Round 86: Acc: 0.75500	 Loss: 0.55701	 Msg_len: 20.000	 Edit_Dist: 20 
Round 87: Acc: 0.75300	 Loss: 0.55961	 Msg_len: 20.000	 Edit_Dist: 20 
Round 88: Acc: 0.75600	 Loss: 0.55588	 Msg_len: 20.000	 Edit_Dist: 20 
Round 89: Acc: 0.75600	 Loss: 0.55591	 Msg_len: 20.000	 Edit_Dist: 20 
Round 90: Acc: 0.75600	 Loss: 0.55598	 Msg_len: 20.000	 Edit_Dist: 20 
Round 91: Acc: 0.75200	 Loss: 0.56035	 Msg_len: 20.000	 Edit_Dist: 20 
Round 92: Acc: 0.75800	 Loss: 0.55350	 Msg_len: 20.000	 Edit_Dist: 20 
Round 93: Acc: 0.75500	 Loss: 0.55683	 Msg_len: 20.000	 Edit_Dist: 20 
Round 94: Acc: 0.75300	 Loss: 0.55901	 Msg_len: 20.000	 Edit_Dist: 20 
Round 95: Acc: 0.75600	 Loss: 0.55585	 Msg_len: 20.000	 Edit_Dist: 20 
Round 96: Acc: 0.75500	 Loss: 0.55707	 Msg_len: 20.000	 Edit_Dist: 20 
Round 97: Acc: 0.75400	 Loss: 0.55779	 Msg_len: 20.000	 Edit_Dist: 20 
Round 98: Acc: 0.75400	 Loss: 0.55852	 Msg_len: 20.000	 Edit_Dist: 20 
Round 99: Acc: 0.75200	 Loss: 0.56016	 Msg_len: 20.000	 Edit_Dist: 20 
Round 100: Acc: 0.75300	 Loss: 0.55974	 Msg_len: 20.000	 Edit_Dist: 20 
Round 101: Acc: 0.75700	 Loss: 0.55459	 Msg_len: 20.000	 Edit_Dist: 20 
Round 102: Acc: 0.75400	 Loss: 0.55795	 Msg_len: 20.000	 Edit_Dist: 20 
Round 103: Acc: 0.75400	 Loss: 0.55775	 Msg_len: 20.000	 Edit_Dist: 20 
Round 104: Acc: 0.75400	 Loss: 0.55757	 Msg_len: 20.000	 Edit_Dist: 20 
Round 105: Acc: 0.75200	 Loss: 0.55898	 Msg_len: 20.000	 Edit_Dist: 20 
Round 106: Acc: 0.75600	 Loss: 0.55730	 Msg_len: 20.000	 Edit_Dist: 20 
Round 107: Acc: 0.75700	 Loss: 0.55558	 Msg_len: 20.000	 Edit_Dist: 20 
Round 108: Acc: 0.75200	 Loss: 0.56051	 Msg_len: 20.000	 Edit_Dist: 20 
Round 109: Acc: 0.75800	 Loss: 0.55347	 Msg_len: 20.000	 Edit_Dist: 20 
Round 110: Acc: 0.75700	 Loss: 0.55455	 Msg_len: 20.000	 Edit_Dist: 20 
Round 111: Acc: 0.75600	 Loss: 0.55589	 Msg_len: 20.000	 Edit_Dist: 20 
Round 112: Acc: 0.75600	 Loss: 0.55569	 Msg_len: 20.000	 Edit_Dist: 20 
Round 113: Acc: 0.75900	 Loss: 0.55209	 Msg_len: 20.000	 Edit_Dist: 20 
Round 114: Acc: 0.74900	 Loss: 0.56414	 Msg_len: 20.000	 Edit_Dist: 20 
Round 115: Acc: 0.75500	 Loss: 0.55687	 Msg_len: 20.000	 Edit_Dist: 20 
Round 116: Acc: 0.75600	 Loss: 0.55571	 Msg_len: 20.000	 Edit_Dist: 20 
Round 117: Acc: 0.75500	 Loss: 0.55699	 Msg_len: 20.000	 Edit_Dist: 20 
Round 118: Acc: 0.75600	 Loss: 0.55592	 Msg_len: 20.000	 Edit_Dist: 20 
Round 119: Acc: 0.75100	 Loss: 0.56136	 Msg_len: 20.000	 Edit_Dist: 20 
Round 120: Acc: 0.75500	 Loss: 0.55695	 Msg_len: 20.000	 Edit_Dist: 20 
Round 121: Acc: 0.75400	 Loss: 0.55818	 Msg_len: 20.000	 Edit_Dist: 20 
Round 122: Acc: 0.75200	 Loss: 0.56051	 Msg_len: 20.000	 Edit_Dist: 20 
Round 123: Acc: 0.75500	 Loss: 0.55674	 Msg_len: 20.000	 Edit_Dist: 20 
Round 124: Acc: 0.75400	 Loss: 0.55771	 Msg_len: 20.000	 Edit_Dist: 20 
Round 125: Acc: 0.75300	 Loss: 0.55952	 Msg_len: 20.000	 Edit_Dist: 20 
Round 126: Acc: 0.75200	 Loss: 0.56028	 Msg_len: 20.000	 Edit_Dist: 20 
Round 127: Acc: 0.75500	 Loss: 0.55723	 Msg_len: 20.000	 Edit_Dist: 20 
Round 128: Acc: 0.75700	 Loss: 0.55472	 Msg_len: 20.000	 Edit_Dist: 20 
Round 129: Acc: 0.75100	 Loss: 0.56149	 Msg_len: 20.000	 Edit_Dist: 20 
Round 130: Acc: 0.75600	 Loss: 0.55587	 Msg_len: 20.000	 Edit_Dist: 20 
Round 131: Acc: 0.75200	 Loss: 0.56030	 Msg_len: 20.000	 Edit_Dist: 20 
Round 132: Acc: 0.75600	 Loss: 0.55590	 Msg_len: 20.000	 Edit_Dist: 20 
Round 133: Acc: 0.75100	 Loss: 0.56143	 Msg_len: 20.000	 Edit_Dist: 20 
Round 134: Acc: 0.75400	 Loss: 0.55788	 Msg_len: 20.000	 Edit_Dist: 20 
Round 135: Acc: 0.75600	 Loss: 0.55610	 Msg_len: 20.000	 Edit_Dist: 20 
Round 136: Acc: 0.75500	 Loss: 0.55676	 Msg_len: 20.000	 Edit_Dist: 20 
Round 137: Acc: 0.75300	 Loss: 0.55920	 Msg_len: 20.000	 Edit_Dist: 20 
Round 138: Acc: 0.75700	 Loss: 0.55451	 Msg_len: 20.000	 Edit_Dist: 20 
Round 139: Acc: 0.75300	 Loss: 0.55898	 Msg_len: 20.000	 Edit_Dist: 20 
Round 140: Acc: 0.75800	 Loss: 0.55326	 Msg_len: 20.000	 Edit_Dist: 20 
Round 141: Acc: 0.75100	 Loss: 0.56129	 Msg_len: 20.000	 Edit_Dist: 20 
Round 142: Acc: 0.75400	 Loss: 0.55815	 Msg_len: 20.000	 Edit_Dist: 20 
Round 143: Acc: 0.75100	 Loss: 0.56161	 Msg_len: 20.000	 Edit_Dist: 20 
Round 144: Acc: 0.75600	 Loss: 0.55578	 Msg_len: 20.000	 Edit_Dist: 20 
Round 145: Acc: 0.75300	 Loss: 0.55914	 Msg_len: 20.000	 Edit_Dist: 20 
Round 146: Acc: 0.75400	 Loss: 0.55790	 Msg_len: 20.000	 Edit_Dist: 20 
Round 147: Acc: 0.75600	 Loss: 0.55554	 Msg_len: 20.000	 Edit_Dist: 20 
Round 148: Acc: 0.75500	 Loss: 0.55704	 Msg_len: 20.000	 Edit_Dist: 20 
Round 149: Acc: 0.75400	 Loss: 0.55825	 Msg_len: 20.000	 Edit_Dist: 20 
