Round 87: Acc: 0.88500	 Loss: 0.26672	 Msg_len: 20.000	 Edit_Dist: 5 
Round 88: Acc: 0.92000	 Loss: 0.20606	 Msg_len: 20.000	 Edit_Dist: 4 
Round 89: Acc: 0.93300	 Loss: 0.20099	 Msg_len: 19.147	 Edit_Dist: 4 
Round 90: Acc: 0.89900	 Loss: 0.20937	 Msg_len: 19.626	 Edit_Dist: 5 
Round 91: Acc: 0.87900	 Loss: 0.26800	 Msg_len: 18.038	 Edit_Dist: 5 
Round 92: Acc: 0.89100	 Loss: 0.24718	 Msg_len: 20.000	 Edit_Dist: 5 
Round 93: Acc: 0.89600	 Loss: 0.24988	 Msg_len: 18.351	 Edit_Dist: 4 
Round 94: Acc: 0.89200	 Loss: 0.26510	 Msg_len: 19.121	 Edit_Dist: 4 
Round 95: Acc: 0.89500	 Loss: 0.25390	 Msg_len: 19.902	 Edit_Dist: 4 
Round 96: Acc: 0.87100	 Loss: 0.32987	 Msg_len: 12.393	 Edit_Dist: 10 
Round 97: Acc: 0.89800	 Loss: 0.26498	 Msg_len: 16.863	 Edit_Dist: 5 
Round 98: Acc: 0.93400	 Loss: 0.20955	 Msg_len: 16.352	 Edit_Dist: 5 
Round 99: Acc: 0.87400	 Loss: 0.31378	 Msg_len: 19.065	 Edit_Dist: 5 
Round 100: Acc: 0.89900	 Loss: 0.27306	 Msg_len: 17.626	 Edit_Dist: 5 
Round 101: Acc: 0.88300	 Loss: 0.27962	 Msg_len: 19.987	 Edit_Dist: 6 
Round 102: Acc: 0.92200	 Loss: 0.20736	 Msg_len: 19.202	 Edit_Dist: 6 
Round 103: Acc: 0.92000	 Loss: 0.23234	 Msg_len: 18.141	 Edit_Dist: 4 
Round 104: Acc: 0.90300	 Loss: 0.22285	 Msg_len: 19.604	 Edit_Dist: 5 
Round 105: Acc: 0.92200	 Loss: 0.22046	 Msg_len: 19.181	 Edit_Dist: 6 
Round 106: Acc: 0.90800	 Loss: 0.21773	 Msg_len: 19.009	 Edit_Dist: 7 
Round 107: Acc: 0.89900	 Loss: 0.23221	 Msg_len: 19.367	 Edit_Dist: 5 
Round 108: Acc: 0.91000	 Loss: 0.24480	 Msg_len: 18.132	 Edit_Dist: 7 
Round 109: Acc: 0.89400	 Loss: 0.24838	 Msg_len: 19.229	 Edit_Dist: 8 
Round 110: Acc: 0.92500	 Loss: 0.21024	 Msg_len: 18.396	 Edit_Dist: 6 
Round 111: Acc: 0.92500	 Loss: 0.19332	 Msg_len: 18.052	 Edit_Dist: 7 
Round 112: Acc: 0.92200	 Loss: 0.20625	 Msg_len: 17.417	 Edit_Dist: 5 
Round 113: Acc: 0.90200	 Loss: 0.25270	 Msg_len: 17.051	 Edit_Dist: 6 
Round 114: Acc: 0.90900	 Loss: 0.28181	 Msg_len: 15.033	 Edit_Dist: 7 
Round 115: Acc: 0.87300	 Loss: 0.25261	 Msg_len: 19.374	 Edit_Dist: 9 
Round 116: Acc: 0.90900	 Loss: 0.23009	 Msg_len: 19.358	 Edit_Dist: 6 
Round 117: Acc: 0.91100	 Loss: 0.23183	 Msg_len: 17.073	 Edit_Dist: 9 
Round 118: Acc: 0.88500	 Loss: 0.25603	 Msg_len: 19.507	 Edit_Dist: 8 
Round 119: Acc: 0.90400	 Loss: 0.26660	 Msg_len: 17.151	 Edit_Dist: 8 
Round 120: Acc: 0.87000	 Loss: 0.29298	 Msg_len: 18.474	 Edit_Dist: 10 
Round 121: Acc: 0.91900	 Loss: 0.20481	 Msg_len: 17.989	 Edit_Dist: 7 
Round 122: Acc: 0.94600	 Loss: 0.17905	 Msg_len: 16.521	 Edit_Dist: 9 
Round 123: Acc: 0.93600	 Loss: 0.19598	 Msg_len: 13.094	 Edit_Dist: 8 
