Round 112: Acc: 0.65500	 Loss: 0.53204	 Msg_len: 20.000	 Edit_Dist: 3 
Round 113: Acc: 0.63400	 Loss: 0.61137	 Msg_len: 20.000	 Edit_Dist: 3 
Round 114: Acc: 0.73500	 Loss: 0.54618	 Msg_len: 20.000	 Edit_Dist: 3 
Round 115: Acc: 0.73100	 Loss: 0.55567	 Msg_len: 20.000	 Edit_Dist: 1 
Round 116: Acc: 0.71500	 Loss: 0.51304	 Msg_len: 20.000	 Edit_Dist: 1 
Round 117: Acc: 0.68800	 Loss: 0.56510	 Msg_len: 20.000	 Edit_Dist: 3 
Round 118: Acc: 0.71500	 Loss: 0.49827	 Msg_len: 20.000	 Edit_Dist: 2 
Round 119: Acc: 0.70000	 Loss: 0.53416	 Msg_len: 20.000	 Edit_Dist: 2 
Round 120: Acc: 0.76300	 Loss: 0.50926	 Msg_len: 20.000	 Edit_Dist: 2 
Round 121: Acc: 0.73200	 Loss: 0.46977	 Msg_len: 20.000	 Edit_Dist: 2 
Round 122: Acc: 0.75600	 Loss: 0.41560	 Msg_len: 20.000	 Edit_Dist: 3 
Round 123: Acc: 0.66500	 Loss: 0.57911	 Msg_len: 20.000	 Edit_Dist: 4 
Round 124: Acc: 0.78500	 Loss: 0.51231	 Msg_len: 20.000	 Edit_Dist: 3 
Round 125: Acc: 0.81900	 Loss: 0.47080	 Msg_len: 20.000	 Edit_Dist: 3 
Round 126: Acc: 0.67100	 Loss: 0.52339	 Msg_len: 20.000	 Edit_Dist: 3 
Round 127: Acc: 0.79400	 Loss: 0.48101	 Msg_len: 20.000	 Edit_Dist: 1 
Round 128: Acc: 0.75100	 Loss: 0.44977	 Msg_len: 20.000	 Edit_Dist: 2 
Round 129: Acc: 0.80200	 Loss: 0.49648	 Msg_len: 20.000	 Edit_Dist: 3 
Round 130: Acc: 0.80800	 Loss: 0.41293	 Msg_len: 20.000	 Edit_Dist: 3 
Round 131: Acc: 0.81500	 Loss: 0.46747	 Msg_len: 20.000	 Edit_Dist: 2 
Round 132: Acc: 0.82500	 Loss: 0.44419	 Msg_len: 20.000	 Edit_Dist: 3 
Round 133: Acc: 0.76600	 Loss: 0.43878	 Msg_len: 20.000	 Edit_Dist: 2 
Round 134: Acc: 0.81600	 Loss: 0.48165	 Msg_len: 20.000	 Edit_Dist: 2 
Round 135: Acc: 0.84900	 Loss: 0.43833	 Msg_len: 20.000	 Edit_Dist: 3 
Round 136: Acc: 0.76800	 Loss: 0.44245	 Msg_len: 20.000	 Edit_Dist: 2 
Round 137: Acc: 0.82800	 Loss: 0.45791	 Msg_len: 20.000	 Edit_Dist: 2 
Round 138: Acc: 0.78700	 Loss: 0.39669	 Msg_len: 20.000	 Edit_Dist: 2 
Round 139: Acc: 0.81500	 Loss: 0.36355	 Msg_len: 20.000	 Edit_Dist: 2 
Round 140: Acc: 0.82400	 Loss: 0.48986	 Msg_len: 20.000	 Edit_Dist: 2 
Round 141: Acc: 0.81700	 Loss: 0.40591	 Msg_len: 20.000	 Edit_Dist: 3 
Round 142: Acc: 0.81500	 Loss: 0.36295	 Msg_len: 20.000	 Edit_Dist: 2 
Round 143: Acc: 0.81600	 Loss: 0.41730	 Msg_len: 20.000	 Edit_Dist: 2 
Round 144: Acc: 0.82600	 Loss: 0.41511	 Msg_len: 20.000	 Edit_Dist: 2 
Round 145: Acc: 0.81800	 Loss: 0.34294	 Msg_len: 20.000	 Edit_Dist: 2 
Round 146: Acc: 0.81200	 Loss: 0.35182	 Msg_len: 20.000	 Edit_Dist: 2 
Round 147: Acc: 0.80900	 Loss: 0.38295	 Msg_len: 20.000	 Edit_Dist: 2 
Round 148: Acc: 0.82800	 Loss: 0.44636	 Msg_len: 20.000	 Edit_Dist: 3 
Round 149: Acc: 0.83700	 Loss: 0.37835	 Msg_len: 20.000	 Edit_Dist: 2 
Round 150: Acc: 0.82000	 Loss: 0.38735	 Msg_len: 20.000	 Edit_Dist: 2 
Round 151: Acc: 0.81500	 Loss: 0.33220	 Msg_len: 20.000	 Edit_Dist: 2 
Round 152: Acc: 0.84400	 Loss: 0.44219	 Msg_len: 20.000	 Edit_Dist: 2 
Round 153: Acc: 0.83600	 Loss: 0.38523	 Msg_len: 20.000	 Edit_Dist: 2 
Round 154: Acc: 0.88600	 Loss: 0.37244	 Msg_len: 20.000	 Edit_Dist: 1 
Round 155: Acc: 0.84000	 Loss: 0.35969	 Msg_len: 20.000	 Edit_Dist: 1 
Round 156: Acc: 0.85200	 Loss: 0.32843	 Msg_len: 20.000	 Edit_Dist: 3 
Round 157: Acc: 0.87600	 Loss: 0.38417	 Msg_len: 20.000	 Edit_Dist: 2 
Round 158: Acc: 0.82300	 Loss: 0.36369	 Msg_len: 20.000	 Edit_Dist: 4 
Round 159: Acc: 0.80800	 Loss: 0.34581	 Msg_len: 20.000	 Edit_Dist: 3 
Round 160: Acc: 0.81900	 Loss: 0.36166	 Msg_len: 20.000	 Edit_Dist: 3 
Round 161: Acc: 0.86900	 Loss: 0.41605	 Msg_len: 20.000	 Edit_Dist: 3 
Round 162: Acc: 0.84600	 Loss: 0.35578	 Msg_len: 20.000	 Edit_Dist: 3 
Round 163: Acc: 0.85800	 Loss: 0.36296	 Msg_len: 20.000	 Edit_Dist: 2 
Round 164: Acc: 0.84400	 Loss: 0.35678	 Msg_len: 20.000	 Edit_Dist: 3 
Round 165: Acc: 0.85000	 Loss: 0.36506	 Msg_len: 20.000	 Edit_Dist: 2 
Round 166: Acc: 0.84900	 Loss: 0.32694	 Msg_len: 20.000	 Edit_Dist: 2 
Round 167: Acc: 0.88300	 Loss: 0.37441	 Msg_len: 20.000	 Edit_Dist: 3 
Round 168: Acc: 0.85400	 Loss: 0.34086	 Msg_len: 20.000	 Edit_Dist: 3 
Round 169: Acc: 0.84400	 Loss: 0.35385	 Msg_len: 20.000	 Edit_Dist: 2 
Round 170: Acc: 0.87400	 Loss: 0.36616	 Msg_len: 20.000	 Edit_Dist: 3 
Round 171: Acc: 0.88900	 Loss: 0.34016	 Msg_len: 20.000	 Edit_Dist: 3 
Round 172: Acc: 0.85900	 Loss: 0.34961	 Msg_len: 20.000	 Edit_Dist: 2 
